"Job #","Borough","House #","Street Name","Block","Lot","Bin #","Job Type","Community - Board","Curb Cut","Fully Permitted","Initial Cost","Proposed Zoning Sqft","Horizontal Enlrgmt","Vertical Enlrgmt","Enlargement SQ Footage","Zoning Dist1","Job Description"
"200683046","BRONX","3550","BIVONA STREET","05263","00070","2093879","A2","212",,"05/07/2003","$45000.00","0",,,"0","R4","Enlarge Apt entry door, kitchen doorway, bathroom door, Bedroom Door to 36 ' for Handicap accessibility. Replace tub, lav, water closet, kitchen sink, lead bend,waste and water branches. Replace floor bathroom tiles and paint apartment throughout."
"200706478","BRONX","2550","BRIGGS AVENUE","03293","00018","2016780","A2","207",,"04/10/2002","$50000.00","0",,,"0",,"CONSTRUCT NEW CONCRETE RAMP AND DECK FOR   ACCESS TO STORES AND REAR SUPER'S APARTMENT. NO CHANGE IN OCCUPANC Y, USE, EGRESS OR PARTITIONS IN THIS APPLICATION."
"200706478","BRONX","2550","BRIGGS AVENUE","03293","00018","2016780","A2","207",,"04/10/2002","$50000.00","0",,,"0",,"CONSTRUCT NEW CONCRETE RAMP AND DECK FOR   ACCESS TO STORES AND REAR SUPER'S APARTMENT. NO CHANGE IN OCCUPANC Y, USE, EGRESS OR PARTITIONS IN THIS APPLICATION."
"200708083","BRONX","3224","GRAND CONCOURSE","03323","00001","2017666","A1","207",,"05/04/2004","$62000.00","0",,,"0","R8","CHANGE TWO (2) EXISTING APARTMENTS INTO MEDICAL OFFICES ON FIRST FLOOR. CO# 1396 TO BE SUPERSEDED."
"200708083","BRONX","3224","GRAND CONCOURSE","03323","00001","2017666","A1","207",,"05/04/2004","$62000.00","0",,,"0","R8","CHANGE TWO (2) EXISTING APARTMENTS INTO MEDICAL OFFICES ON FIRST FLOOR. CO# 1396 TO BE SUPERSEDED."
"200708788","BRONX","3424","DEKALB AVE","03327","00067","2017766","A2","207",,,"$40000.00","0",,,"0",,"REPIPE ENTIRE WITH BLACK IRON FOR EXIST- ING DOMESTIC GAS RANGES. 66 UNITS . GAS METERS TO REMAIN IN APARTMENTS. NO CHANGE IN OCCUPANCY, USE, EGRESS OR PARTITIONS IN THIS APPLICATION."
"200708788","BRONX","3424","DEKALB AVE","03327","00067","2017766","A2","207",,,"$40000.00","0",,,"0",,"REPIPE ENTIRE WITH BLACK IRON FOR EXIST- ING DOMESTIC GAS RANGES. 66 UNITS . GAS METERS TO REMAIN IN APARTMENTS. NO CHANGE IN OCCUPANCY, USE, EGRESS OR PARTITIONS IN THIS APPLICATION."
"200714511","BRONX","2140","SEWARD AVENUE","03570","00001","2092676","A2","209",,"04/10/2002","$58000.00","0",,,"0",,"RTEPLACE OF GAS PIPING FROM EXISTING MET ERS TO STOVE OUTLETS. INCLUDING OVERHEAD PIPING IN BASEMENT &amp; RISERS.  1 39 APARTMENTS.  NO CHANGE IN USE EGRESS OR OCCUPANCY."
"200714511","BRONX","2140","SEWARD AVENUE","03570","00001","2092676","A2","209",,"04/10/2002","$58000.00","0",,,"0",,"RTEPLACE OF GAS PIPING FROM EXISTING MET ERS TO STOVE OUTLETS. INCLUDING OVERHEAD PIPING IN BASEMENT &amp; RISERS.  1 39 APARTMENTS.  NO CHANGE IN USE EGRESS OR OCCUPANCY."
"200714520","BRONX","2160","SEWARD AVENUE","03570","00001","2092675","A2","209",,"04/10/2002","$58000.00","0",,,"0",,"REPLACEMENT OF GAS PIPING FROM EXISTING METERS TO STOVE OUTLETS.  INCLUD ING OVERHEAD PIPING IN BASEMENT &amp; RISERS .  139 APARTMENTS NO CHANGE IN USE EGRE S OR OCCUPANCY."
"200714520","BRONX","2160","SEWARD AVENUE","03570","00001","2092675","A2","209",,"04/10/2002","$58000.00","0",,,"0",,"REPLACEMENT OF GAS PIPING FROM EXISTING METERS TO STOVE OUTLETS.  INCLUD ING OVERHEAD PIPING IN BASEMENT &amp; RISERS .  139 APARTMENTS NO CHANGE IN USE EGRE S OR OCCUPANCY."
"200714520","BRONX","2160","SEWARD AVENUE","03570","00001","2092675","A2","209",,"04/10/2002","$58000.00","0",,,"0",,"REPLACEMENT OF GAS PIPING FROM EXISTING METERS TO STOVE OUTLETS.  INCLUD ING OVERHEAD PIPING IN BASEMENT &amp; RISERS .  139 APARTMENTS NO CHANGE IN USE EGRE S OR OCCUPANCY."
"200714539","BRONX","2125","RANDALL AVENUE","03570","00001","2092674","A2","209",,"04/10/2002","$58000.00","0",,,"0",,"REPLACEMENT OF GAS PIPING FROM EXISTING METERS TO STOVE OUTLETS.  INCLUD ING OVERHEAD PIPING IN BASEMENT &amp; RISERS .  134 APARTMENTS NO CHANGE IN USE EGRE S OR OCCUPANCY."
"200714539","BRONX","2125","RANDALL AVENUE","03570","00001","2092674","A2","209",,"04/10/2002","$58000.00","0",,,"0",,"REPLACEMENT OF GAS PIPING FROM EXISTING METERS TO STOVE OUTLETS.  INCLUD ING OVERHEAD PIPING IN BASEMENT &amp; RISERS .  134 APARTMENTS NO CHANGE IN USE EGRE S OR OCCUPANCY."
"200714539","BRONX","2125","RANDALL AVENUE","03570","00001","2092674","A2","209",,"04/10/2002","$58000.00","0",,,"0",,"REPLACEMENT OF GAS PIPING FROM EXISTING METERS TO STOVE OUTLETS.  INCLUD ING OVERHEAD PIPING IN BASEMENT &amp; RISERS .  134 APARTMENTS NO CHANGE IN USE EGRE S OR OCCUPANCY."
"200714548","BRONX","635","CASTLE HILL AVENUE","03570","00001","2092673","A2","209",,"04/10/2002","$58000.00","0",,,"0",,"REPLACEMENT OF GAS PIPING FROM EXISTING METERS TO STOVE OUTLETS.  INCLUD ING OVERHEAD PIPING IN BASEMENT, RISERS AND PIPING TO PILOTS FOR BOILERS.  153 APARTMENT.  NO CHANGE IN USE EGRESS OR O CCUPANCY."
"200714548","BRONX","635","CASTLE HILL AVENUE","03570","00001","2092673","A2","209",,"04/10/2002","$58000.00","0",,,"0",,"REPLACEMENT OF GAS PIPING FROM EXISTING METERS TO STOVE OUTLETS.  INCLUD ING OVERHEAD PIPING IN BASEMENT, RISERS AND PIPING TO PILOTS FOR BOILERS.  153 APARTMENT.  NO CHANGE IN USE EGRESS OR O CCUPANCY."
"200714557","BRONX","2120","RANDALL AVENUE","03534","00001","2092633","A2","209",,"04/10/2002","$58000.00","0",,,"0",,"REPLACEMENT OF GAS PIPING FROM EXISTING METERS TO STOVE OUTLETS.  INCLUD DING OVERHEAD PIPING IN BASEMENT &amp; RISER S.  139 APARTMENTS  NO CHANGE IN USE EG ESS OR OCCUPANCY."
"200714557","BRONX","2120","RANDALL AVENUE","03534","00001","2092633","A2","209",,"04/10/2002","$58000.00","0",,,"0",,"REPLACEMENT OF GAS PIPING FROM EXISTING METERS TO STOVE OUTLETS.  INCLUD DING OVERHEAD PIPING IN BASEMENT &amp; RISER S.  139 APARTMENTS  NO CHANGE IN USE EG ESS OR OCCUPANCY."
"200714566","BRONX","575","CASTLE HILL AVENUE","03534","00001","2092631","A2","209",,"04/08/2002","$58000.00","0",,,"0",,"REPLACEMENT OF GAS PIPING FROM EXISTING METERS TOSTOVE OUTLETS.  INCLUDI NG OVEHEAD PIPING IN BASEMENT 7 RISERS. 139 APARTMENTS NO CHANGE IN USE EGRESS O R OCCUPANCY."
"200714566","BRONX","575","CASTLE HILL AVENUE","03534","00001","2092631","A2","209",,"04/08/2002","$58000.00","0",,,"0",,"REPLACEMENT OF GAS PIPING FROM EXISTING METERS TOSTOVE OUTLETS.  INCLUDI NG OVEHEAD PIPING IN BASEMENT 7 RISERS. 139 APARTMENTS NO CHANGE IN USE EGRESS O R OCCUPANCY."
"200714566","BRONX","575","CASTLE HILL AVENUE","03534","00001","2092631","A2","209",,"04/08/2002","$58000.00","0",,,"0",,"REPLACEMENT OF GAS PIPING FROM EXISTING METERS TOSTOVE OUTLETS.  INCLUDI NG OVEHEAD PIPING IN BASEMENT 7 RISERS. 139 APARTMENTS NO CHANGE IN USE EGRESS O R OCCUPANCY."
"200714593","BRONX","2280","RANDALL AVENUE","03537","00001","2092636","A2","209",,"04/09/2002","$58000.00","0",,,"0",,"REPLACEMENT OF GAS PIPING FROM EXISTING METERS TO STOVE OUTLETS.  INCLUD ING OVERHEAD PIPING IN BASEMENT &amp; RISERS .  139 APARTMENTS NO CHANGE IN USE EGRE S OR OCCUPANCY."
"200714593","BRONX","2280","RANDALL AVENUE","03537","00001","2092636","A2","209",,"04/09/2002","$58000.00","0",,,"0",,"REPLACEMENT OF GAS PIPING FROM EXISTING METERS TO STOVE OUTLETS.  INCLUD ING OVERHEAD PIPING IN BASEMENT &amp; RISERS .  139 APARTMENTS NO CHANGE IN USE EGRE S OR OCCUPANCY."
